modelo,RMSLE,MAE,R2,tempo_cv_seg
Ridge,0.11294745216903272,13656.683747551908,0.9333031900942133,3.365599300013855
XGBoost,0.11602828955321831,14203.892578125,0.91093510389328,3.7165403000544757
Regressao Linear,0.13181126904049092,15334.33372577026,0.9007663873435675,4.988546299980953
Random Forest,0.13695762020090954,16958.056970380134,0.8571771462404207,4.2202260999474674
